Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,year,Lower Confidence Interval,Upper Confidence Interval,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Health..Life.Expectancy.,Trust..Government.Corruption.,Dystopia.Residual,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Ivory Coast,Sub-Saharan Africa,151.0,3.655,0.05141,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.41723,2015,,,,,,,,,,,,,,,,
Burkina Faso,Sub-Saharan Africa,152.0,3.587,0.04324,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494,2015,,,,,,,,,,,,,,,,
Afghanistan,Southern Asia,153.0,3.575,0.03084,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,2015,,,,,,,,,,,,,,,,
Rwanda,Sub-Saharan Africa,154.0,3.465,0.03464,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,0.67042,2015,,,,,,,,,,,,,,,,
Benin,Sub-Saharan Africa,155.0,3.34,0.03656,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328,2015,,,,,,,,,,,,,,,,
Syria,Middle East and Northern Africa,156.0,3.006,0.05015,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,0.32858,2015,,,,,,,,,,,,,,,,
Burundi,Sub-Saharan Africa,157.0,2.905,0.08658,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302,2015,,,,,,,,,,,,,,,,
Togo,Sub-Saharan Africa,158.0,2.839,0.06727,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.56726,2015,,,,,,,,,,,,,,,,
Denmark,Western Europe,1.0,7.526,,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,2016,7.46,7.592,,,,,,,,,,,,,,
Switzerland,Western Europe,2.0,7.509,,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,2016,7.428,7.59,,,,,,,,,,,,,,
Iceland,Western Europe,3.0,7.501,,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,2016,7.333,7.669,,,,,,,,,,,,,,
Norway,Western Europe,4.0,7.498,,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,2016,7.421,7.575,,,,,,,,,,,,,,
Finland,Western Europe,5.0,7.413,,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,2016,7.351,7.475,,,,,,,,,,,,,,
Canada,North America,6.0,7.404,,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,2016,7.335,7.473,,,,,,,,,,,,,,
Netherlands,Western Europe,7.0,7.339,,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,2016,7.284,7.394,,,,,,,,,,,,,,
New Zealand,Australia and New Zealand,8.0,7.334,,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,2016,7.264,7.404,,,,,,,,,,,,,,
Australia,Australia and New Zealand,9.0,7.313,,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,2016,7.241,7.385,,,,,,,,,,,,,,
Sweden,Western Europe,10.0,7.291,,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,2016,7.227,7.355,,,,,,,,,,,,,,
Israel,Middle East and Northern Africa,11.0,7.267,,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,2016,7.199,7.335,,,,,,,,,,,,,,
Austria,Western Europe,12.0,7.119,,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,2016,7.045,7.193,,,,,,,,,,,,,,
United States,North America,13.0,7.104,,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,2016,7.02,7.188,,,,,,,,,,,,,,
Costa Rica,Latin America and Caribbean,14.0,7.087,,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,2016,6.999,7.175,,,,,,,,,,,,,,
Puerto Rico,Latin America and Caribbean,15.0,7.039,,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,3.0076,2016,6.794,7.284,,,,,,,,,,,,,,
Germany,Western Europe,16.0,6.994,,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,2016,6.93,7.058,,,,,,,,,,,,,,
Brazil,Latin America and Caribbean,17.0,6.952,,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,2016,6.875,7.029,,,,,,,,,,,,,,
Belgium,Western Europe,18.0,6.929,,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,2016,6.861,6.997,,,,,,,,,,,,,,
Ireland,Western Europe,19.0,6.907,,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,2016,6.836,6.978,,,,,,,,,,,,,,
Luxembourg,Western Europe,20.0,6.871,,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,2016,6.804,6.938,,,,,,,,,,,,,,
Mexico,Latin America and Caribbean,21.0,6.778,,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,2016,6.68,6.876,,,,,,,,,,,,,,
Singapore,Southeastern Asia,22.0,6.739,,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,2016,6.674,6.804,,,,,,,,,,,,,,
United Kingdom,Western Europe,23.0,6.725,,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999,2016,6.647,6.803,,,,,,,,,,,,,,
Chile,Latin America and Caribbean,24.0,6.705,,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,2016,6.615,6.795,,,,,,,,,,,,,,
Panama,Latin America and Caribbean,25.0,6.701,,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,2016,6.601,6.801,,,,,,,,,,,,,,
Argentina,Latin America and Caribbean,26.0,6.65,,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,2016,6.56,6.74,,,,,,,,,,,,,,
Czech Republic,Central and Eastern Europe,27.0,6.596,,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,2016,6.515,6.677,,,,,,,,,,,,,,
United Arab Emirates,Middle East and Northern Africa,28.0,6.573,,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,2016,6.494,6.652,,,,,,,,,,,,,,
Uruguay,Latin America and Caribbean,29.0,6.545,,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,2016,6.456,6.634,,,,,,,,,,,,,,
Malta,Western Europe,30.0,6.488,,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,2016,6.409,6.567,,,,,,,,,,,,,,
Colombia,Latin America and Caribbean,31.0,6.481,,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,2016,6.384,6.578,,,,,,,,,,,,,,
France,Western Europe,32.0,6.478,,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,2016,6.397,6.559,,,,,,,,,,,,,,
Thailand,Southeastern Asia,33.0,6.474,,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,2016,6.396,6.552,,,,,,,,,,,,,,
Saudi Arabia,Middle East and Northern Africa,34.0,6.379,,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,2016,6.287,6.471,,,,,,,,,,,,,,
Taiwan,Eastern Asia,34.0,6.379,,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523,2016,6.305,6.453,,,,,,,,,,,,,,
Qatar,Middle East and Northern Africa,36.0,6.375,,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,2016,6.178,6.572,,,,,,,,,,,,,,
Spain,Western Europe,37.0,6.361,,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,2016,6.288,6.434,,,,,,,,,,,,,,
Algeria,Middle East and Northern Africa,38.0,6.355,,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,2016,6.227,6.483,,,,,,,,,,,,,,
Guatemala,Latin America and Caribbean,39.0,6.324,,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,2016,6.213,6.435,,,,,,,,,,,,,,
Suriname,Latin America and Caribbean,40.0,6.269,,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,2016,6.073,6.465,,,,,,,,,,,,,,
Kuwait,Middle East and Northern Africa,41.0,6.239,,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,2016,6.154,6.324,,,,,,,,,,,,,,
Bahrain,Middle East and Northern Africa,42.0,6.218,,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,2016,6.128,6.308,,,,,,,,,,,,,,
Trinidad and Tobago,Latin America and Caribbean,43.0,6.168,,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.51394,2016,5.95,6.386,,,,,,,,,,,,,,
Venezuela,Latin America and Caribbean,44.0,6.084,,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,2016,5.973,6.195,,,,,,,,,,,,,,
Slovakia,Central and Eastern Europe,45.0,6.078,,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,2016,5.996,6.16,,,,,,,,,,,,,,
El Salvador,Latin America and Caribbean,46.0,6.068,,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,2016,5.967,6.169,,,,,,,,,,,,,,
Malaysia,Southeastern Asia,47.0,6.005,,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,2016,5.921,6.089,,,,,,,,,,,,,,
Nicaragua,Latin America and Caribbean,48.0,5.992,,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,2016,5.877,6.107,,,,,,,,,,,,,,
Uzbekistan,Central and Eastern Europe,49.0,5.987,,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,2016,5.896,6.078,,,,,,,,,,,,,,
Italy,Western Europe,50.0,5.977,,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,2016,5.898,6.056,,,,,,,,,,,,,,
Ecuador,Latin America and Caribbean,51.0,5.976,,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,2016,5.88,6.072,,,,,,,,,,,,,,
Belize,Latin America and Caribbean,52.0,5.956,,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039,2016,5.71,6.202,,,,,,,,,,,,,,
Japan,Eastern Asia,53.0,5.921,,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,2016,5.85,5.992,,,,,,,,,,,,,,
Kazakhstan,Central and Eastern Europe,54.0,5.919,,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,2016,5.837,6.001,,,,,,,,,,,,,,
Moldova,Central and Eastern Europe,55.0,5.897,,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007,2016,5.823,5.971,,,,,,,,,,,,,,
Russia,Central and Eastern Europe,56.0,5.856,,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,2016,5.789,5.923,,,,,,,,,,,,,,
Poland,Central and Eastern Europe,57.0,5.835,,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,2016,5.749,5.921,,,,,,,,,,,,,,
South Korea,Eastern Asia,57.0,5.835,,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015,2016,5.747,5.923,,,,,,,,,,,,,,
Bolivia,Latin America and Caribbean,59.0,5.822,,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,2016,5.74,5.904,,,,,,,,,,,,,,
Lithuania,Central and Eastern Europe,60.0,5.813,,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,2016,5.734,5.892,,,,,,,,,,,,,,
Belarus,Central and Eastern Europe,61.0,5.802,,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,2016,5.723,5.881,,,,,,,,,,,,,,
North Cyprus,Western Europe,62.0,5.771,,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,1.93447,2016,5.67,5.872,,,,,,,,,,,,,,
Slovenia,Central and Eastern Europe,63.0,5.768,,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,2016,5.683,5.853,,,,,,,,,,,,,,
Peru,Latin America and Caribbean,64.0,5.743,,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,2016,5.647,5.839,,,,,,,,,,,,,,
Turkmenistan,Central and Eastern Europe,65.0,5.658,,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489,2016,5.58,5.736,,,,,,,,,,,,,,
Mauritius,Sub-Saharan Africa,66.0,5.648,,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223,2016,5.507,5.789,,,,,,,,,,,,,,
Libya,Middle East and Northern Africa,67.0,5.615,,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,2016,5.406,5.824,,,,,,,,,,,,,,
Latvia,Central and Eastern Europe,68.0,5.56,,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,2016,5.486,5.634,,,,,,,,,,,,,,
Cyprus,Western Europe,69.0,5.546,,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,2016,5.442,5.65,,,,,,,,,,,,,,
Paraguay,Latin America and Caribbean,70.0,5.538,,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,2016,5.453,5.623,,,,,,,,,,,,,,
Romania,Central and Eastern Europe,71.0,5.528,,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,2016,5.427,5.629,,,,,,,,,,,,,,
Estonia,Central and Eastern Europe,72.0,5.517,,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,2016,5.437,5.597,,,,,,,,,,,,,,
Jamaica,Latin America and Caribbean,73.0,5.51,,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,2016,5.315,5.705,,,,,,,,,,,,,,
Croatia,Central and Eastern Europe,74.0,5.488,,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,2016,5.402,5.574,,,,,,,,,,,,,,
Hong Kong,Eastern Asia,75.0,5.458,,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,0.92614,2016,5.362,5.554,,,,,,,,,,,,,,
Somalia,Sub-Saharan Africa,76.0,5.44,,0.0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,2016,5.321,5.559,,,,,,,,,,,,,,
Kosovo,Central and Eastern Europe,77.0,5.401,,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998,2016,5.308,5.494,,,,,,,,,,,,,,
Turkey,Middle East and Northern Africa,78.0,5.389,,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,2016,5.295,5.483,,,,,,,,,,,,,,
Indonesia,Southeastern Asia,79.0,5.314,,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,2016,5.237,5.391,,,,,,,,,,,,,,
Jordan,Middle East and Northern Africa,80.0,5.303,,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,2016,5.187,5.419,,,,,,,,,,,,,,
Azerbaijan,Central and Eastern Europe,81.0,5.291,,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,2016,5.226,5.356,,,,,,,,,,,,,,
Philippines,Southeastern Asia,82.0,5.279,,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,2016,5.16,5.398,,,,,,,,,,,,,,
China,Eastern Asia,83.0,5.245,,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,2016,5.199,5.291,,,,,,,,,,,,,,
Bhutan,Southern Asia,84.0,5.196,,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,2016,5.138,5.254,,,,,,,,,,,,,,
Kyrgyzstan,Central and Eastern Europe,85.0,5.185,,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136,2016,5.103,5.267,,,,,,,,,,,,,,
Serbia,Central and Eastern Europe,86.0,5.177,,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,2016,5.083,5.271,,,,,,,,,,,,,,
Bosnia and Herzegovina,Central and Eastern Europe,87.0,5.163,,0.93383,0.64367,0.70766,0.09511,0.0,0.29889,2.48406,2016,5.063,5.263,,,,,,,,,,,,,,
Montenegro,Central and Eastern Europe,88.0,5.161,,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531,2016,5.055,5.267,,,,,,,,,,,,,,
Dominican Republic,Latin America and Caribbean,89.0,5.155,,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,2016,5.037,5.273,,,,,,,,,,,,,,
Morocco,Middle East and Northern Africa,90.0,5.151,,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891,2016,5.058,5.244,,,,,,,,,,,,,,
Hungary,Central and Eastern Europe,91.0,5.145,,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,2016,5.056,5.234,,,,,,,,,,,,,,
Pakistan,Southern Asia,92.0,5.132,,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,2016,5.038,5.226,,,,,,,,,,,,,,
Lebanon,Middle East and Northern Africa,93.0,5.129,,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339,2016,5.031,5.227,,,,,,,,,,,,,,
Portugal,Western Europe,94.0,5.123,,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015,2016,5.03,5.216,,,,,,,,,,,,,,
Macedonia,Central and Eastern Europe,95.0,5.121,,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947,2016,5.017,5.225,,,,,,,,,,,,,,
Vietnam,Southeastern Asia,96.0,5.061,,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,1.9418,2016,4.991,5.131,,,,,,,,,,,,,,
Somaliland Region,Sub-Saharan Africa,97.0,5.057,,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,2.43801,2016,4.934,5.18,,,,,,,,,,,,,,
Tunisia,Middle East and Northern Africa,98.0,5.045,,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,2016,4.965,5.125,,,,,,,,,,,,,,
Greece,Western Europe,99.0,5.033,,1.24886,0.75473,0.80029,0.05822,0.04127,0.0,2.12944,2016,4.935,5.131,,,,,,,,,,,,,,
Tajikistan,Central and Eastern Europe,100.0,4.996,,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106,2016,4.923,5.069,,,,,,,,,,,,,,
Mongolia,Eastern Asia,101.0,4.907,,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586,2016,4.838,4.976,,,,,,,,,,,,,,
Laos,Southeastern Asia,102.0,4.876,,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637,2016,4.742,5.01,,,,,,,,,,,,,,
Nigeria,Sub-Saharan Africa,103.0,4.875,,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,2016,4.75,5.0,,,,,,,,,,,,,,
Honduras,Latin America and Caribbean,104.0,4.871,,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551,2016,4.75,4.992,,,,,,,,,,,,,,
Iran,Middle East and Northern Africa,105.0,4.813,,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817,2016,4.703,4.923,,,,,,,,,,,,,,
Zambia,Sub-Saharan Africa,106.0,4.795,,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991,2016,4.645,4.945,,,,,,,,,,,,,,
Nepal,Southern Asia,107.0,4.793,,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694,2016,4.698,4.888,,,,,,,,,,,,,,
Palestinian Territories,Middle East and Northern Africa,108.0,4.754,,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154,2.40364,2016,4.649,4.859,,,,,,,,,,,,,,
Albania,Central and Eastern Europe,109.0,4.655,,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,2016,4.546,4.764,,,,,,,,,,,,,,
Bangladesh,Southern Asia,110.0,4.643,,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,2016,4.56,4.726,,,,,,,,,,,,,,
Sierra Leone,Sub-Saharan Africa,111.0,4.635,,0.36485,0.628,0.0,0.30685,0.08196,0.23897,3.01402,2016,4.505,4.765,,,,,,,,,,,,,,
Iraq,Middle East and Northern Africa,112.0,4.575,,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657,2016,4.446,4.704,,,,,,,,,,,,,,
Namibia,Sub-Saharan Africa,113.0,4.574,,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198,2016,4.374,4.774,,,,,,,,,,,,,,
Cameroon,Sub-Saharan Africa,114.0,4.513,,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198,2016,4.417,4.609,,,,,,,,,,,,,,
Ethiopia,Sub-Saharan Africa,115.0,4.508,,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,2016,4.425,4.591,,,,,,,,,,,,,,
South Africa,Sub-Saharan Africa,116.0,4.459,,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,2016,4.371,4.547,,,,,,,,,,,,,,
Sri Lanka,Southern Asia,117.0,4.415,,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,2016,4.322,4.508,,,,,,,,,,,,,,
India,Southern Asia,118.0,4.404,,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,2016,4.351,4.457,,,,,,,,,,,,,,
Myanmar,Southeastern Asia,119.0,4.395,,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655,2016,4.327,4.463,,,,,,,,,,,,,,
Egypt,Middle East and Northern Africa,120.0,4.362,,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895,2016,4.259,4.465,,,,,,,,,,,,,,
Armenia,Central and Eastern Europe,121.0,4.36,,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,2016,4.266,4.454,,,,,,,,,,,,,,
Kenya,Sub-Saharan Africa,122.0,4.356,,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,2016,4.259,4.453,,,,,,,,,,,,,,
Ukraine,Central and Eastern Europe,123.0,4.324,,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,2016,4.236,4.412,,,,,,,,,,,,,,
Ghana,Sub-Saharan Africa,124.0,4.276,,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,2016,4.185,4.367,,,,,,,,,,,,,,
Congo (Kinshasa),Sub-Saharan Africa,125.0,4.272,,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,2.74924,2016,4.191,4.353,,,,,,,,,,,,,,
Georgia,Central and Eastern Europe,126.0,4.252,,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,2016,4.164,4.34,,,,,,,,,,,,,,
Congo (Brazzaville),Sub-Saharan Africa,127.0,4.236,,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,2.10681,2016,4.107,4.365,,,,,,,,,,,,,,
Senegal,Sub-Saharan Africa,128.0,4.219,,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,2016,4.151,4.287,,,,,,,,,,,,,,
Bulgaria,Central and Eastern Europe,129.0,4.217,,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,2016,4.104,4.33,,,,,,,,,,,,,,
Mauritania,Sub-Saharan Africa,130.0,4.201,,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,2016,4.127,4.275,,,,,,,,,,,,,,
Zimbabwe,Sub-Saharan Africa,131.0,4.193,,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,2016,4.101,4.285,,,,,,,,,,,,,,
Malawi,Sub-Saharan Africa,132.0,4.156,,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,2016,4.041,4.271,,,,,,,,,,,,,,
Sudan,Sub-Saharan Africa,133.0,4.139,,0.63069,0.81928,0.29759,0.0,0.10039,0.18077,2.10995,2016,3.928,4.35,,,,,,,,,,,,,,
Gabon,Sub-Saharan Africa,134.0,4.121,,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,2016,4.03,4.212,,,,,,,,,,,,,,
Mali,Sub-Saharan Africa,135.0,4.073,,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,2016,3.988,4.158,,,,,,,,,,,,,,
Haiti,Latin America and Caribbean,136.0,4.028,,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,2016,3.893,4.163,,,,,,,,,,,,,,
Botswana,Sub-Saharan Africa,137.0,3.974,,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,2016,3.875,4.073,,,,,,,,,,,,,,
Comoros,Sub-Saharan Africa,138.0,3.956,,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,2016,3.86,4.052,,,,,,,,,,,,,,
Ivory Coast,Sub-Saharan Africa,139.0,3.916,,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,2016,3.826,4.006,,,,,,,,,,,,,,
Cambodia,Southeastern Asia,140.0,3.907,,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,2016,3.798,4.016,,,,,,,,,,,,,,
Angola,Sub-Saharan Africa,141.0,3.866,,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,2016,3.753,3.979,,,,,,,,,,,,,,
Niger,Sub-Saharan Africa,142.0,3.856,,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,2016,3.781,3.931,,,,,,,,,,,,,,
South Sudan,Sub-Saharan Africa,143.0,3.832,,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,2016,3.596,4.068,,,,,,,,,,,,,,
